Functions: sin(x),cos(x)
-1.500000000000019,-0.9974949866040558
-1.400000000000019,-0.9854497299884634
-1.300000000000019,-0.9635581854171981
-1.2000000000000188,-0.9320390859672332
-1.1000000000000187,-0.8912073600614439
-1.0000000000000187,-0.8414709848079066
-0.9000000000000187,-0.783326909627495
-0.8000000000000187,-0.7173560908995358
-0.7000000000000187,-0.6442176872377053
-0.6000000000000187,-0.5646424733950508
-0.5000000000000188,-0.4794255386042195
-0.4000000000000188,-0.3894183423086678
-0.3000000000000188,-0.29552020666135753
-0.2000000000000188,-0.19866933079507965
-0.1000000000000188,-0.09983341664684685
-1.8790524691780774E-14,-1.8790524691780774E-14
0.09999999999998122,0.09983341664680946
0.19999999999998122,0.19866933079504281
0.2999999999999812,0.2955202066613216
0.39999999999998126,0.3894183423086332
0.49999999999998124,0.4794255386041865
0.5999999999999812,0.5646424733950198
0.6999999999999812,0.6442176872376767
0.7999999999999812,0.7173560908995097
0.8999999999999811,0.7833269096274716
0.9999999999999811,0.8414709848078863
1.0999999999999812,0.8912073600614269
1.1999999999999813,0.9320390859672196
1.2999999999999814,0.963558185417188
1.3999999999999815,0.985449729988457
1.4999999999999816,0.9974949866040531
1.5999999999999817,0.9995736030415057
1.6999999999999817,0.991664810452471
1.7999999999999818,0.9738476308781994
1.899999999999982,0.9463000876874204
1.999999999999982,0.9092974268256891
2.099999999999982,0.8632093666488829
2.199999999999982,0.8084964038196008
2.299999999999982,0.7457052121767321
2.399999999999982,0.675463180551164
2.4999999999999822,0.5984721441039708
2.5999999999999823,0.5155013718214794
2.6999999999999824,0.4273798802338458
2.7999999999999825,0.3349881501559214
2.8999999999999826,0.23924932921399922
2.9999999999999827,0.14112000805988437
3.0999999999999828,0.0415806624333078
3.199999999999983,-0.058374143427562794
3.299999999999983,-0.15774569414323153
3.399999999999983,-0.2555411020268149
3.499999999999983,-0.35078322768960407
3.599999999999983,-0.4425204432948373
3.6999999999999833,-0.5298361409084791
3.7999999999999834,-0.6118578909427059
3.8999999999999835,-0.6877661591839618
3.9999999999999836,-0.7568024953079175
4.099999999999984,-0.8182771110644012
4.199999999999983,-0.8715757724135799
4.299999999999983,-0.9161659367494481
4.399999999999983,-0.9516020738895106
4.499999999999982,-0.9775301176650933
4.599999999999982,-0.9936910036334624
4.6999999999999815,-0.9999232575641006
4.799999999999981,-0.9961646088358423
4.899999999999981,-0.9824526126243361
4.9999999999999805,-0.958924274663144
5.09999999999998,-0.9258146823277398
5.19999999999998,-0.8834546557201628
5.299999999999979,-0.8322674422239126
5.399999999999979,-0.7727644875560007
5.499999999999979,-0.705540325570407
5.599999999999978,-0.6312666378723382
5.699999999999978,-0.5506855425976561
5.799999999999978,-0.464602179413777
5.899999999999977,-0.37387666483025744
5.999999999999977,-0.27941549819894806
6.0999999999999766,-0.1821625042721186
6.199999999999976,-0.0830894028175203
6.299999999999976,0.016813900484325735
6.3999999999999755,0.11654920485046895
6.499999999999975,0.21511998808779123
6.599999999999975,0.3115413635133542
6.699999999999974,0.40484992061657477
6.799999999999974,0.4941133511385858
6.899999999999974,0.5784397643881785
6.999999999999973,0.656986598718769
7.099999999999973,0.7289690401258576
7.199999999999973,0.7936678638491365
7.299999999999972,0.85043662062855
7.399999999999972,0.8987080958116145
7.499999999999972,0.937999976774729
7.599999999999971,0.9679196720314792
7.699999999999971,0.9881682338769959
7.7999999999999705,0.9985433453746033
7.89999999999997,0.9989413418397735
7.99999999999997,0.9893582466233861
8.09999999999997,0.9698898108450937
8.199999999999969,0.9407305566797833
8.299999999999969,0.9021718337563072
8.399999999999968,0.8545989080882971
8.499999999999968,0.7984871126235096
8.599999999999968,0.7343970978741351
8.699999999999967,0.6629692300822073
8.799999999999967,0.584917192891789
8.899999999999967,0.5010208564579138
8.999999999999966,0.41211848524178735
9.099999999999966,0.3190983623493841
9.199999999999966,0.22288991410028056
9.299999999999965,0.12445442350709696
9.399999999999965,0.02477542545339328
9.499999999999964,-0.07515112046177388
9.599999999999964,-0.17432678122294465
9.699999999999964,-0.27176062641090826
9.799999999999963,-0.3664791292518937
9.899999999999963,-0.4575358937752882
9.999999999999963,-0.5440211108893385
-10.0,-0.8390715290764524
-9.9,-0.8891911526253609
-9.8,-0.9304262721047533
-9.700000000000001,-0.9623648798313097
-9.600000000000001,-0.9846878557941267
-9.500000000000002,-0.9971721561963783
-9.400000000000002,-0.9996930420352065
-9.300000000000002,-0.9922253254526037
-9.200000000000003,-0.9748436214041644
-9.100000000000003,-0.947721602131113
-9.000000000000004,-0.9111302618846785
-8.900000000000004,-0.8654352092411141
-8.800000000000004,-0.811093014061658
-8.700000000000005,-0.7486466455974022
-8.600000000000005,-0.6787200473200163
-8.500000000000005,-0.6020119026848278
-8.400000000000006,-0.5192886541166901
-8.300000000000006,-0.4313768449706256
-8.200000000000006,-0.33915486098384123
-8.100000000000007,-0.24354415373579802
-8.000000000000007,-0.14550003380862056
-7.9000000000000075,-0.04600212563954405
-7.800000000000008,0.05395542056264177
-7.700000000000008,0.15337386203785644
-7.6000000000000085,0.25125984258224715
-7.500000000000009,0.3466353178350175
-7.400000000000009,0.43854732757438236
-7.30000000000001,0.526077517381097
-7.20000000000001,0.6083513145322468
-7.10000000000001,0.6845466664427988
-7.000000000000011,0.7539022543432976
-6.900000000000011,0.8157251001253507
-6.800000000000011,0.8693974903498195
-6.700000000000012,0.9143831482353147
-6.600000000000012,0.9502325919585257
-6.500000000000012,0.9765876257280208
-6.400000000000013,0.9931849187581911
-6.300000000000013,0.9998586363834149
-6.2000000000000135,0.9965420970232186
-6.100000000000014,0.9832684384425872
-6.000000000000014,0.96017028665037
-5.900000000000015,0.9274784307440412
-5.800000000000015,0.8855195169413259
-5.700000000000015,0.8347127848391681
-5.600000000000016,0.7755658785102597
-5.500000000000016,0.7086697742912713
-5.400000000000016,0.634692875942647
-5.300000000000017,0.5543743361791749
-5.200000000000017,0.46851667130039204
-5.100000000000017,0.37797774271299667
-5.000000000000018,0.2836621854632433
-4.900000000000018,0.1865123694225932
-4.8000000000000185,0.08749898343946497
-4.700000000000019,-0.012388663462871909
-4.600000000000019,-0.11215252693503545
-4.5000000000000195,-0.2107957994307606
-4.40000000000002,-0.30733286997840076
-4.30000000000002,-0.40079917207995674
-4.200000000000021,-0.4902608213406816
-4.100000000000021,-0.5748239465332518
-4.000000000000021,-0.6536436208635957
-3.9000000000000212,-0.7259323042001256
-3.800000000000021,-0.7909677119144037
-3.700000000000021,-0.848100031710397
-3.600000000000021,-0.8967584163341378
-3.500000000000021,-0.936456687290789
-3.400000000000021,-0.9667981925794557
-3.3000000000000207,-0.9874797699088617
-3.2000000000000206,-0.9982947757947519
-3.1000000000000205,-0.9991351502732804
-3.0000000000000204,-0.9899924966004483
-2.9000000000000203,-0.9709581651495954
-2.8000000000000203,-0.942222340668665
-2.70000000000002,-0.9040721420170698
-2.60000000000002,-0.8568887533689575
-2.50000000000002,-0.8011436155469457
-2.40000000000002,-0.737393715541259
-2.30000000000002,-0.666276021279839
-2.2000000000000197,-0.5885011172553617
-2.1000000000000196,-0.5048461045998744
-2.0000000000000195,-0.41614683654716017
-1.9000000000000195,-0.32328956686352184
-1.8000000000000194,-0.2272020946931059
-1.7000000000000193,-0.1288444942955438
-1.6000000000000192,-0.029199522301307904
-1.500000000000019,0.07073720166768387
-1.400000000000019,0.16996714290022222
-1.300000000000019,0.2674988286245692
-1.2000000000000188,0.362357754476656
-1.1000000000000187,0.45359612142556066
-1.0000000000000187,0.540302305868124
-0.9000000000000187,0.6216099682706498
-0.8000000000000187,0.6967067093471521
-0.7000000000000187,0.7648421872844764
-0.6000000000000187,0.8253356149096677
-0.5000000000000188,0.8775825618903638
-0.4000000000000188,0.9210609940028778
-0.3000000000000188,0.9553364891256004
-0.2000000000000188,0.9800665778412379
-0.1000000000000188,0.9950041652780239
-1.8790524691780774E-14,1.0
0.09999999999998122,0.9950041652780276
0.19999999999998122,0.9800665778412454
0.2999999999999812,0.9553364891256115
0.39999999999998126,0.9210609940028924
0.49999999999998124,0.8775825618903818
0.5999999999999812,0.8253356149096889
0.6999999999999812,0.7648421872845006
0.7999999999999812,0.6967067093471789
0.8999999999999811,0.6216099682706793
0.9999999999999811,0.5403023058681556
1.0999999999999812,0.45359612142559413
1.1999999999999813,0.362357754476691
1.2999999999999814,0.26749882862460533
1.3999999999999815,0.1699671429002592
1.4999999999999816,0.0707372016677213
1.5999999999999817,-0.029199522301270393
1.6999999999999817,-0.1288444942955066
1.7999999999999818,-0.22720209469306937
1.899999999999982,-0.3232895668634863
1.999999999999982,-0.41614683654712603
2.099999999999982,-0.5048461045998418
2.199999999999982,-0.5885011172553312
2.299999999999982,-0.6662760212798108
2.399999999999982,-0.7373937155412335
2.4999999999999822,-0.801143615546923
2.5999999999999823,-0.8568887533689381
2.6999999999999824,-0.9040721420170537
2.7999999999999825,-0.9422223406686523
2.8999999999999826,-0.9709581651495863
2.9999999999999827,-0.989992496600443
3.0999999999999828,-0.9991351502732787
3.199999999999983,-0.9982947757947541
3.299999999999983,-0.9874797699088675
3.399999999999983,-0.9667981925794653
3.499999999999983,-0.9364566872908022
3.599999999999983,-0.8967584163341544
3.6999999999999833,-0.848100031710417
3.7999999999999834,-0.7909677119144268
3.8999999999999835,-0.7259323042001515
3.9999999999999836,-0.6536436208636244
4.099999999999984,-0.5748239465332823
4.199999999999983,-0.49026082134071414
4.299999999999983,-0.40079917207999094
4.399999999999983,-0.30733286997843623
4.499999999999982,-0.21079579943079707
4.599999999999982,-0.11215252693507252
4.6999999999999815,-0.01238866346290921
4.799999999999981,0.08749898343942782
4.899999999999981,0.18651236942255656
4.9999999999999805,0.28366218546320754
5.09999999999998,0.37797774271296214
5.19999999999998,0.46851667130035907
5.299999999999979,0.5543743361791438
5.399999999999979,0.6346928759426181
5.499999999999979,0.708669774291245
5.599999999999978,0.7755658785102361
5.699999999999978,0.8347127848391476
5.799999999999978,0.8855195169413086
5.899999999999977,0.9274784307440272
5.999999999999977,0.9601702866503595
6.0999999999999766,0.9832684384425803
6.199999999999976,0.9965420970232155
6.299999999999976,0.9998586363834155
6.3999999999999755,0.9931849187581955
6.499999999999975,0.9765876257280288
6.599999999999975,0.9502325919585374
6.699999999999974,0.9143831482353298
6.799999999999974,0.869397490349838
6.899999999999974,0.8157251001253722
6.999999999999973,0.7539022543433221
7.099999999999973,0.684546666442826
7.199999999999973,0.6083513145322764
7.299999999999972,0.5260775173811287
7.399999999999972,0.4385473275744159
7.499999999999972,0.34663531783505247
7.599999999999971,0.25125984258228323
7.699999999999971,0.15337386203789333
7.7999999999999705,0.05395542056267902
7.89999999999997,-0.046002125639506786
7.99999999999997,-0.14550003380858365
8.09999999999997,-0.24354415373576183
8.199999999999969,-0.33915486098380615
8.299999999999969,-0.431376844970592
8.399999999999968,-0.5192886541166583
8.499999999999968,-0.6020119026847981
8.599999999999968,-0.6787200473199889
8.699999999999967,-0.7486466455973775
8.799999999999967,-0.8110930140616363
8.899999999999967,-0.8654352092410953
8.999999999999966,-0.9111302618846631
9.099999999999966,-0.9477216021311011
9.199999999999966,-0.974843621404156
9.299999999999965,-0.9922253254525991
9.399999999999965,-0.9996930420352056
9.499999999999964,-0.9971721561963811
9.599999999999964,-0.9846878557941332
9.699999999999964,-0.9623648798313199
9.799999999999963,-0.9304262721047669
9.899999999999963,-0.889191152625378
9.999999999999963,-0.8390715290764728
