Functions: sin(x),cos(x)
x,y
-10.0,0.5440211108893698
-9.9,0.45753589377532133
-9.8,0.36647912925192844
-9.700000000000001,0.2717606264109442
-9.600000000000001,0.1743267812229814
-9.500000000000002,0.07515112046181108
-9.400000000000002,-0.02477542545335599
-9.300000000000002,-0.12445442350705994
-9.200000000000003,-0.2228899141002442
-9.100000000000003,-0.31909836234934874
-9.000000000000004,-0.4121184852417533
-8.900000000000004,-0.5010208564578816
-8.800000000000004,-0.5849171928917588
-8.700000000000005,-0.6629692300821793
-8.600000000000005,-0.7343970978741098
-8.500000000000005,-0.798487112623487
-8.400000000000006,-0.8545989080882778
-8.300000000000006,-0.9021718337562911
-8.200000000000006,-0.9407305566797707
-8.100000000000007,-0.9698898108450846
-8.000000000000007,-0.9893582466233808
-7.9000000000000075,-0.9989413418397717
-7.800000000000008,-0.9985433453746054
-7.700000000000008,-0.9881682338770016
-7.6000000000000085,-0.9679196720314885
-7.500000000000009,-0.9379999767747419
-7.400000000000009,-0.8987080958116308
-7.30000000000001,-0.8504366206285696
-7.20000000000001,-0.7936678638491591
-7.10000000000001,-0.7289690401258831
-7.000000000000011,-0.6569865987187972
-6.900000000000011,-0.5784397643882089
-6.800000000000011,-0.4941133511386182
-6.700000000000012,-0.4048499206166089
-6.600000000000012,-0.3115413635133897
-6.500000000000012,-0.21511998808782767
-6.400000000000013,-0.11654920485050599
-6.300000000000013,-0.016813900484363032
-6.2000000000000135,0.08308940281748313
-6.100000000000014,0.18216250427208192
-6.000000000000014,0.2794154981989122
-5.900000000000015,0.37387666483022286
-5.800000000000015,0.464602179413744
-5.700000000000015,0.550685542597625
-5.600000000000016,0.6312666378723092
-5.500000000000016,0.7055403255703806
-5.400000000000016,0.772764487555977
-5.300000000000017,0.8322674422238919
-5.200000000000017,0.8834546557201453
-5.100000000000017,0.9258146823277257
-5.000000000000018,0.9589242746631335
-4.900000000000018,0.9824526126243291
-4.8000000000000185,0.996164608835839
-4.700000000000019,0.9999232575641012
-4.600000000000019,0.9936910036334666
-4.5000000000000195,0.9775301176651012
-4.40000000000002,0.9516020738895221
-4.30000000000002,0.9161659367494631
-4.200000000000021,0.8715757724135982
-4.100000000000021,0.8182771110644226
-4.000000000000021,0.7568024953079422
-3.9000000000000212,0.6877661591839892
-3.800000000000021,0.6118578909427358
-3.700000000000021,0.529836140908511
-3.600000000000021,0.44252044329487117
-3.500000000000021,0.3507832276896394
-3.400000000000021,0.25554110202685143
-3.3000000000000207,0.1577456941432688
-3.2000000000000206,0.05837414342760048
-3.1000000000000205,-0.04158066243327008
-3.0000000000000204,-0.141120008059847
-2.9000000000000203,-0.23924932921396258
-2.8000000000000203,-0.33498815015588584
-2.70000000000002,-0.4273798802338117
-2.60000000000002,-0.5155013718214471
-2.50000000000002,-0.5984721441039405
-2.40000000000002,-0.6754631805511363
-2.30000000000002,-0.7457052121767069
-2.2000000000000197,-0.8084964038195785
-2.1000000000000196,-0.8632093666488638
-2.0000000000000195,-0.9092974268256736
-1.9000000000000195,-0.9463000876874083
-1.8000000000000194,-0.9738476308781908
-1.7000000000000193,-0.9916648104524661
-1.6000000000000192,-0.9995736030415046
